stock,p_e_ratio,p_b_ratio,p_s_ratio,ev_ebitda,ev_gp,p_e_ratio_percentile,p_b_ratio_percentile,p_s_ratio_percentile,ev_ebitda_percentile,ev_gp_percentile,rv_score
ABB.NS,57.470394,15.265778,8.860193,44.488,20.116766145926107,0.7396593673965937,0.9002433090024331,0.8126520681265207,0.851581508515815,0.8394160583941606,0.8287104622871047
APLAPOLLO.NS,66.65862,10.9482765,2.113049,39.128,16.130748995096493,0.8077858880778589,0.7907542579075426,0.2725060827250608,0.7883211678832117,0.7299270072992701,0.6778588807785888
360ONE.NS,32.05094,7.9261465,8.767014,17.455,15.22345675425716,0.36982968369829683,0.6593673965936739,0.8004866180048662,0.3357664233576642,0.681265206812652,0.5693430656934306
3MINDIA.NS,55.248875,19.15857,7.349284,41.715,18.126666173029577,0.7201946472019465,0.9367396593673966,0.7274939172749392,0.8150851581508516,0.7980535279805353,0.7995133819951338
ACC.NS,14.265091,2.2244043,1.7504996,12.25,3.532627661248973,0.10218978102189781,0.15571776155717762,0.19464720194647203,0.19951338199513383,0.09245742092457421,0.14890510948905109
AIAENG.NS,28.984827,4.690084,6.9558315,23.172,10.43232893912877,0.3309002433090024,0.41119221411192214,0.7104622871046229,0.45742092457420924,0.5182481751824818,0.4856447688564477
AARTIIND.NS,36.888557,2.481606,1.9111274,16.819,6.817736061573118,0.46715328467153283,0.1873479318734793,0.2384428223844282,0.30900243309002434,0.30900243309002434,0.30218978102189775
ACE.NS,38.61247,10.860764,4.695677,31.333,15.109554184223528,0.4793187347931874,0.7785888077858881,0.5669099756690997,0.6423357664233577,0.6763990267639902,0.6287104622871047
ADANIENSOL.NS,126.56849,4.919572,4.6715384,17.781,12.125953207909864,0.9416058394160584,0.4282238442822384,0.559610705596107,0.3442822384428224,0.5790754257907542,0.5705596107055961
ABBOTINDIA.NS,46.296432,17.54805,9.896774,39.2,21.81585380151628,0.610705596107056,0.927007299270073,0.8661800486618005,0.7907542579075426,0.8686131386861314,0.8126520681265207
ADANIENT.NS,78.1342,6.986811,2.6916747,27.142,7.304361879908207,0.8686131386861314,0.6082725060827251,0.35036496350364965,0.5620437956204379,0.35036496350364965,0.5479318734793187
ADANIGREEN.NS,117.681526,15.454104,13.54673,26.924,25.268353433567142,0.9343065693430657,0.902676399026764,0.9172749391727494,0.5523114355231143,0.9197080291970803,0.8452554744525547
ADANIPOWER.NS,16.472315,3.8624446,3.7123377,11.391,10.205597796597925,0.12895377128953772,0.340632603406326,0.46715328467153283,0.18004866180048662,0.5060827250608273,0.3245742092457421
ATGL.NS,97.09359,16.604885,13.482307,59.146,39.59028847465459,0.9075425790754258,0.9197080291970803,0.9148418491484185,0.9245742092457421,0.9732360097323601,0.9279805352798054
ADANIPORTS.NS,24.511206,4.337996,8.589827,16.928,15.234868341872389,0.26277372262773724,0.38686131386861317,0.7883211678832117,0.31143552311435524,0.683698296836983,0.48661800486618007
AWL.NS,28.992373,3.8729625,0.5871387,14.348,4.432282088519116,0.3333333333333333,0.34306569343065696,0.046228710462287104,0.26277372262773724,0.14841849148418493,0.22676399026763994
AEGISLOG.NS,47.164948,6.6207266,3.9643145,31.41,22.098169763000776,0.6204379562043796,0.5669099756690997,0.49878345498783455,0.6447688564476886,0.878345498783455,0.6418491484184914
ABREL.NS,151.51636,5.25842,4.204894,48.318,14.017597361342348,0.9537712895377128,0.45255474452554745,0.5206812652068127,0.8734793187347932,0.6447688564476886,0.689051094890511
ABSLAMC.NS,20.79098,5.7656565,9.830636,15.381,12.47726380791105,0.20437956204379562,0.49635036496350365,0.8588807785888077,0.2822384428223844,0.5936739659367397,0.4871046228710463
AJANTPHARM.NS,34.719894,8.472424,6.86544,24.419,8.87653428264729,0.41849148418491483,0.6885644768856448,0.7007299270072993,0.49878345498783455,0.43552311435523117,0.548418491484185
APLLTD.NS,28.73329,3.5504067,2.7000766,18.965,3.904887242735328,0.32116788321167883,0.30900243309002434,0.35279805352798055,0.36982968369829683,0.11435523114355231,0.2934306569343066
AKUMS.NS,44.66169,2.3636622,1.7135836,15.198,4.197107185503659,0.5742092457420924,0.17274939172749393,0.18491484184914841,0.2749391727493917,0.1192214111922141,0.2652068126520681
AFFLE.NS,58.14553,7.920094,9.846175,54.208,32.84681791224479,0.7445255474452555,0.656934306569343,0.8637469586374696,0.9124087591240876,0.9635036496350365,0.8282238442822385
ALKYLAMINE.NS,49.02642,6.65453,5.6623893,29.168,12.057113984272904,0.6545012165450121,0.5717761557177615,0.5985401459854015,0.6082725060827251,0.5693430656934306,0.6004866180048661
ALKEM.NS,26.809729,5.0231047,4.5258455,23.239,7.134202755684818,0.29683698296836986,0.43309002433090027,0.5498783454987834,0.45985401459854014,0.340632603406326,0.41605839416058393
AMBUJACEM.NS,29.591036,2.5842373,3.8208945,25.006,6.660129528737634,0.3381995133819951,0.20437956204379562,0.48175182481751827,0.5145985401459854,0.29927007299270075,0.367639902676399
ARE&M.NS,17.922617,2.4976757,1.4292666,10.887,4.338056723003227,0.1630170316301703,0.19708029197080293,0.145985401459854,0.1654501216545012,0.1386861313868613,0.16204379562043797
ANANDRATHI.NS,52.63799,26.908358,15.905866,37.067,27.777463917140025,0.683698296836983,0.9610705596107056,0.9464720194647201,0.7566909975669099,0.9391727493917275,0.8574209245742093
AMBER.NS,101.01317,10.553742,2.4717615,37.785,14.975542966131108,0.9172749391727494,0.7566909975669099,0.31630170316301703,0.7688564476885644,0.6690997566909975,0.6856447688564477
APARINDS.NS,25.444828,5.0034814,1.1529378,13.575,5.544623594880282,0.27007299270072993,0.4306569343065693,0.1070559610705596,0.24087591240875914,0.22384428223844283,0.2545012165450121
ANANTRAJ.NS,39.834206,4.07542,7.9879203,35.301,29.18529518740465,0.5109489051094891,0.36982968369829683,0.7493917274939172,0.7201946472019465,0.9440389294403893,0.6588807785888078
APOLLOTYRE.NS,20.07628,1.8121045,1.0135298,8.864,2.763718198797722,0.1922141119221411,0.09245742092457421,0.0948905109489051,0.1070559610705596,0.05596107055961071,0.10851581508515815
APOLLOHOSP.NS,73.5277,13.447523,4.565711,37.619,13.82207204994682,0.8442822384428224,0.8661800486618005,0.5523114355231143,0.7664233576642335,0.6374695863746959,0.7333333333333333
ASAHIINDIA.NS,42.377502,6.0248823,3.314513,24.096,6.228333938654536,0.5498783454987834,0.5231143552311436,0.43552311435523117,0.49148418491484186,0.2749391727493917,0.4549878345498783
ASHOKLEY.NS,21.324324,5.8492775,1.2703277,11.567,5.609759763286664,0.2141119221411192,0.5036496350364964,0.12895377128953772,0.1873479318734793,0.22627737226277372,0.25206812652068133
ASTRAL.NS,68.48617,10.648627,6.217425,39.395,15.768067638398325,0.8150851581508516,0.7688564476885644,0.6496350364963503,0.7956204379562044,0.7007299270072993,0.7459854014598539
ACI.NS,38.903347,3.6582212,6.5970855,20.134,6.248646713285781,0.48418491484184917,0.32116788321167883,0.6788321167883211,0.39902676399026765,0.2773722627737226,0.4321167883211679
ASTRAZEN.NS,204.07953,29.090376,12.211922,94.513,27.70840598862582,0.9781021897810219,0.9683698296836983,0.8953771289537713,0.9659367396593674,0.9367396593673966,0.9489051094890512
ASIANPAINT.NS,53.47367,12.524453,6.600732,39.326,15.817874772757492,0.6958637469586375,0.8394160583941606,0.681265206812652,0.7931873479318735,0.7104622871046229,0.7440389294403893
ATUL.NS,38.021755,2.816317,2.9559648,19.301,6.279739148047429,0.4744525547445255,0.23357664233576642,0.39416058394160586,0.3795620437956204,0.2798053527980535,0.35231143552311434
AUROPHARMA.NS,18.484114,2.0899746,2.0761738,10.009,3.678850786146074,0.170316301703163,0.145985401459854,0.26520681265206814,0.1362530413625304,0.10462287104622871,0.16447688564476884
ASTERDM.NS,117.68293,7.010738,5.845398,36.137,10.76015804898284,0.9367396593673966,0.6131386861313869,0.6131386861313869,0.7420924574209246,0.5279805352798054,0.6866180048661801
BASF.NS,31.056776,5.4256096,1.2415358,20.155,7.480830218205727,0.35523114355231145,0.46715328467153283,0.12652068126520682,0.40389294403892945,0.35523114355231145,0.3416058394160584
BEML.NS,46.945503,4.55987,3.168645,28.493,7.045666571462173,0.6180048661800487,0.40632603406326034,0.41605839416058393,0.5936739659367397,0.3284671532846715,0.47250608272506084
BSE.NS,80.6409,16.06296,26.112335,42.818,24.288242717993512,0.8734793187347932,0.9099756690997567,0.9805352798053528,0.8345498783454988,0.9099756690997567,0.9017031630170316
BLS.NS,34.97275,11.093345,8.132805,29.845,20.04432737848143,0.4282238442822384,0.7931873479318735,0.754257907542579,0.6253041362530414,0.8369829683698297,0.6875912408759124
AVANTIFEED.NS,20.365026,3.8994184,1.7807577,13.955,6.606117641572765,0.19708029197080293,0.34549878345498786,0.20924574209245742,0.25304136253041365,0.2944038929440389,0.25985401459854013
DMART.NS,97.08964,13.049151,4.5949492,62.083,31.50485409194613,0.9051094890510949,0.851581508515815,0.5547445255474452,0.9318734793187348,0.9537712895377128,0.8394160583941606
BAJAJ-AUTO.NS,28.571268,6.915352,4.1933136,18.379,13.086904533897842,0.31386861313868614,0.5961070559610706,0.5182481751824818,0.35766423357664234,0.6155717761557178,0.48029197080291974
BAJAJFINSV.NS,35.972538,4.4588337,2.4002392,12.723,9.316578331589616,0.44525547445255476,0.39416058394160586,0.30413625304136255,0.22384428223844283,0.45985401459854014,0.3654501216545012
BALRAMCHIN.NS,27.09622,3.1368995,2.0845647,16.613,8.183414040335688,0.30413625304136255,0.2773722627737226,0.27007299270072993,0.30170316301703165,0.3844282238442822,0.3075425790754258
BALKRISIND.NS,26.041986,4.910945,4.449006,18.594,8.918542298940187,0.2822384428223844,0.4257907542579075,0.5450121654501217,0.36253041362530414,0.43795620437956206,0.4107055961070559
BAJAJHLDNG.NS,17.03565,2.1400445,70.33943,84.001,75.40492956668311,0.14841849148418493,0.14841849148418493,0.9878345498783455,0.9562043795620438,0.9878345498783455,0.6457420924574209
BALAMINES.NS,21.277285,2.2296288,2.7112036,14.134,5.867970770869838,0.2116788321167883,0.15815085158150852,0.36009732360097324,0.25790754257907544,0.24330900243309003,0.24622871046228711
BATAINDIA.NS,44.636665,10.596508,4.447747,35.537,8.361925970819524,0.5717761557177615,0.7615571776155717,0.5425790754257908,0.732360097323601,0.40632603406326034,0.602919708029197
BAYERCROP.NS,41.494915,7.0216646,4.1512814,34.057,10.39140993746284,0.5425790754257908,0.6155717761557178,0.51338199513382,0.6982968369829684,0.5158150851581509,0.5771289537712896
BHARATFORG.NS,53.467953,6.56504,3.178245,20.135,6.419937042593046,0.6934306569343066,0.5620437956204379,0.4209245742092457,0.40145985401459855,0.2871046228710462,0.47299270072992694
BDL.NS,188.69534,13.150988,20.252367,95.098,31.02770525857101,0.9732360097323601,0.8564476885644768,0.9635036496350365,0.9683698296836983,0.9513381995133819,0.9425790754257907
BERGEPAINT.NS,52.35685,10.691094,5.2652493,33.668,12.863060808399416,0.6788321167883211,0.7761557177615572,0.5936739659367397,0.6885644768856448,0.6034063260340633,0.6681265206812652
BHARTIHEXA.NS,172.4647,13.415359,9.019122,22.643,18.04954861196825,0.9683698296836983,0.8613138686131386,0.8248175182481752,0.44525547445255476,0.7931873479318735,0.7785888077858881
BHEL.NS,144.89865,3.1356466,2.7049122,77.829,8.656558000962228,0.9464720194647201,0.2749391727493917,0.35523114355231145,0.9513381995133819,0.4257907542579075,0.5907542579075425
BPCL.NS,8.689366,1.547488,0.26794937,6.297,2.9269035238121788,0.038929440389294405,0.06569343065693431,0.0170316301703163,0.06082725060827251,0.06082725060827251,0.048661800486618015
BEL.NS,40.99561,11.546867,8.8285265,30.878,17.821313466153708,0.5328467153284672,0.8126520681265207,0.805352798053528,0.635036496350365,0.7834549878345499,0.7138686131386862
BHARTIARTL.NS,42.368164,9.748221,6.42072,16.155,11.971146426542788,0.5450121654501217,0.7274939172749392,0.6666666666666666,0.2944038929440389,0.5669099756690997,0.5600973236009732
BIKAJI.NS,62.119267,12.803009,6.4695854,42.712,18.99380927236269,0.7712895377128953,0.8467153284671532,0.6690997566909975,0.8321167883211679,0.8150851581508516,0.7868613138686131
BIOCON.NS,48.779762,1.9217914,2.661318,18.192,6.541570217704339,0.6472019464720195,0.11678832116788321,0.34793187347931875,0.35523114355231145,0.291970802919708,0.3518248175182482
BRIGADE.NS,34.6008,4.436809,4.3655787,16.965,9.70693878547196,0.41119221411192214,0.39172749391727496,0.537712895377129,0.31630170316301703,0.4744525547445255,0.42627737226277373
BLUESTARCO.NS,74.066864,15.193375,3.6761572,52.518,15.341014550263449,0.8467153284671532,0.8978102189781022,0.46228710462287104,0.9002433090024331,0.6861313868613139,0.7586374695863747
BIRLACORPN.NS,36.498505,1.2214844,0.9353152,9.827,1.5328719804575814,0.46472019464720193,0.0413625304136253,0.09002433090024331,0.12895377128953772,0.012165450121654502,0.14744525547445256
BOSCHLTD.NS,39.68227,6.320371,4.67877,33.755,13.008130504218263,0.5060827250608273,0.5498783454987834,0.5620437956204379,0.6934306569343066,0.610705596107056,0.5844282238442823
BBTC.NS,10.752633,2.413854,0.68009865,4.216,1.86285112735486,0.05596107055961071,0.17761557177615572,0.04866180048661801,0.021897810218978103,0.0170316301703163,0.06423357664233575
MAPMYINDIA.NS,70.41449,13.084867,22.313828,61.145,32.80967293674963,0.8248175182481752,0.8540145985401459,0.9708029197080292,0.9294403892944039,0.9610705596107056,0.908029197080292
BLUEDART.NS,51.282314,9.907481,2.5084426,23.829,11.693738310738622,0.6690997566909975,0.7347931873479319,0.3284671532846715,0.48418491484184917,0.559610705596107,0.5552311435523114
BSOFT.NS,17.92176,3.1323984,1.8790016,12.4,4.210519892963502,0.16058394160583941,0.2725060827250608,0.23114355231143552,0.20437956204379562,0.12408759124087591,0.19854014598540143
CCL.NS,26.815968,4.0599403,2.441159,17.655,7.913331364555603,0.29927007299270075,0.36739659367396593,0.30900243309002434,0.340632603406326,0.36982968369829683,0.3372262773722628
BRITANNIA.NS,56.17759,37.69708,6.9048157,38.141,16.850859547692128,0.732360097323601,0.9829683698296837,0.7055961070559611,0.7761557177615572,0.7518248175182481,0.7897810218978102
CESC.NS,14.405124,1.6615597,1.2199028,12.605,6.098394274026042,0.1070559610705596,0.0851581508515815,0.12165450121654502,0.2141119221411192,0.26277372262773724,0.15815085158150852
CGPOWER.NS,94.29508,24.92309,9.419262,72.252,30.952728097388807,0.902676399026764,0.9513381995133819,0.8467153284671532,0.9464720194647201,0.948905109489051,0.9192214111922141
CAMPUS.NS,61.31458,10.525068,4.7202406,36.172,9.677016065410724,0.7664233576642335,0.754257907542579,0.5717761557177615,0.7445255474452555,0.4720194647201946,0.6618004866180048
CRISIL.NS,44.84282,11.95921,9.408391,32.448,19.772927114032587,0.5790754257907542,0.8248175182481752,0.8442822384428224,0.6593673965936739,0.8345498783454988,0.7484184914841849
CIEINDIA.NS,18.085648,2.251559,1.6549377,9.436,3.2752343797848305,0.1654501216545012,0.1654501216545012,0.18004866180048662,0.11678832116788321,0.072992700729927,0.14014598540145987
CAPLIPOINT.NS,28.73535,5.9618235,7.7925835,22.683,12.76547667385579,0.3236009732360097,0.5158150851581509,0.7396593673965937,0.44768856447688565,0.6009732360097324,0.5255474452554745
CARBORUNIV.NS,47.397324,5.6615934,3.8741968,25.425,6.341418258490167,0.6228710462287105,0.48661800486618007,0.48661800486618007,0.5279805352798054,0.2846715328467153,0.4817518248175183
CASTROLIND.NS,21.69477,8.825214,3.7510283,14.746,7.238684677574345,0.22141119221411193,0.7031630170316302,0.46958637469586373,0.26763990267639903,0.34549878345498786,0.4014598540145986
CELLO.NS,33.78807,5.909051,5.721452,22.588,10.601287402978208,0.39172749391727496,0.5085158150851582,0.6058394160583942,0.44282238442822386,0.5231143552311436,0.49440389294403897
CHAMBLFERT.NS,15.45657,3.0497153,1.4862211,8.919,3.072952542949173,0.11192214111922141,0.26763990267639903,0.15815085158150852,0.10948905109489052,0.0705596107055961,0.1435523114355231
CENTURYPLY.NS,72.99791,6.851701,3.5282946,34.914,8.391778512963144,0.8369829683698297,0.5863746958637469,0.44525547445255476,0.7153284671532847,0.41119221411192214,0.5990267639902677
CDSL.NS,45.039413,16.400805,20.810253,32.715,20.151020363419995,0.5815085158150851,0.9172749391727494,0.9659367396593674,0.6690997566909975,0.8418491484184915,0.7951338199513382
CERA.NS,30.30379,5.8506775,3.7525063,23.546,6.639523657631573,0.34549878345498786,0.5060827250608273,0.4720194647201946,0.46958637469586373,0.29683698296836986,0.4180048661800487
CHALET.NS,169.47745,6.408408,11.193432,30.937,17.23078743630855,0.9659367396593674,0.5523114355231143,0.8832116788321168,0.6374695863746959,0.7664233576642335,0.7610705596107056
CEATLTD.NS,24.095379,2.761337,0.90690196,9.96,2.8084387864074354,0.25547445255474455,0.22627737226277372,0.08029197080291971,0.13138686131386862,0.058394160583941604,0.15036496350364964
CHENNPETRO.NS,24.391026,1.1745163,0.15090145,10.969,5.150945448312976,0.25790754257907544,0.0364963503649635,0.004866180048661801,0.17274939172749393,0.20437956204379562,0.13527980535279807
CIPLA.NS,22.937601,4.0297093,4.278505,15.8,5.994567617779268,0.2360097323600973,0.36253041362530414,0.5304136253041363,0.2895377128953771,0.25790754257907544,0.335279805352798
CLEAN.NS,48.54379,9.758604,13.62253,33.75,24.4915409817387,0.6399026763990268,0.7299270072992701,0.9197080291970803,0.6909975669099757,0.9148418491484185,0.7790754257907542
COALINDIA.NS,6.9104447,2.4655664,1.7975583,4.647,1.8754803534879363,0.019464720194647202,0.18004866180048662,0.2116788321167883,0.029197080291970802,0.019464720194647202,0.09197080291970802
COFORGE.NS,55.25,7.3715153,3.9718285,34.641,10.385523584841527,0.7226277372262774,0.6301703163017032,0.5036496350364964,0.7104622871046229,0.5109489051094891,0.6155717761557178
COLPAL.NS,45.043682,39.89185,10.862776,32.657,15.490948911086042,0.5863746958637469,0.9854014598540146,0.878345498783455,0.6666666666666666,0.6934306569343066,0.762043795620438
COCHINSHIP.NS,45.869064,6.936409,8.414648,37.148,21.47435986659384,0.6009732360097324,0.6009732360097324,0.7712895377128953,0.7591240875912408,0.8661800486618005,0.7197080291970803
CONCOR.NS,31.947025,3.4403381,4.6848145,20.106,16.64948230917163,0.36739659367396593,0.29683698296836986,0.5644768856447688,0.39659367396593675,0.7420924574209246,0.47347931873479315
CRAFTSMAN.NS,54.05429,3.7332613,2.169617,16.222,5.767239818035837,0.7007299270072993,0.3260340632603406,0.2773722627737226,0.29683698296836986,0.2360097323600973,0.367396593673966
CONCORDBIO.NS,53.182987,10.899515,15.975243,37.322,21.17630645086904,0.6861313868613139,0.781021897810219,0.948905109489051,0.7615571776155717,0.8613138686131386,0.8077858880778589
CAMS.NS,39.524628,17.599781,13.223992,29.668,19.404358221186875,0.5012165450121655,0.9294403892944039,0.9099756690997567,0.6204379562043796,0.8223844282238443,0.75669099756691
CUMMINSIND.NS,39.213642,11.320121,7.7018723,32.884,20.816606458622665,0.49635036496350365,0.8029197080291971,0.7347931873479319,0.6739659367396593,0.851581508515815,0.7119221411192214
CROMPTON.NS,40.305996,6.822749,2.7306643,27.826,8.587662315935031,0.5182481751824818,0.5815085158150851,0.36982968369829683,0.5815085158150851,0.41849148418491483,0.49391727493917276
COROMANDEL.NS,36.097973,5.838937,2.5831122,22.769,9.800824599172204,0.45012165450121655,0.5012165450121655,0.3381995133819951,0.45012165450121655,0.48175182481751827,0.4442822384428224
DLF.NS,40.49226,4.02354,23.126995,88.347,44.79268216512813,0.5231143552311436,0.36009732360097324,0.9732360097323601,0.9610705596107056,0.9805352798053528,0.759610705596107
CYIENT.NS,20.24371,2.4798987,1.74486,11.557,5.34130166410129,0.19464720194647203,0.18491484184914841,0.1922141119221411,0.18491484184914841,0.2141119221411192,0.19416058394160582
DOMS.NS,76.92452,17.135744,8.930504,47.081,19.27314992075588,0.8661800486618005,0.9245742092457421,0.8175182481751825,0.8637469586374696,0.8199513381995134,0.8583941605839417
DEEPAKFERT.NS,16.475576,2.5280013,1.4977487,9.467,5.171202096169924,0.13138686131386862,0.19951338199513383,0.16058394160583941,0.12165450121654502,0.20681265206812652,0.16399026763990268
DATAPATTNS.NS,52.63463,6.9719367,19.035557,40.099,24.4351376615375,0.681265206812652,0.6034063260340633,0.9586374695863747,0.8004866180048662,0.9124087591240876,0.7912408759124088
DABUR.NS,45.672604,7.8908696,6.522119,34.348,13.538083423063911,0.5961070559610706,0.6545012165450121,0.6739659367396593,0.7031630170316302,0.6301703163017032,0.6515815085158151
DALBHARAT.NS,61.351395,1.9779234,2.4383051,13.241,4.242409604691723,0.7688564476885644,0.12408759124087591,0.30656934306569344,0.2360097323600973,0.12895377128953772,0.31289537712895377
DEEPAKNTR.NS,35.084576,5.1696873,3.1973853,24.491,13.603338934726262,0.4306569343065693,0.45012165450121655,0.4257907542579075,0.5036496350364964,0.6326034063260341,0.4885644768856448
DELHIVERY.NS,995.3846,2.0357275,2.1887405,147.465,2.4072885790841454,1.0,0.1362530413625304,0.2822384428223844,0.9781021897810219,0.046228710462287104,0.4885644768856447
DIVISLAB.NS,70.41934,10.617345,16.03356,50.132,27.23639959315216,0.8272506082725061,0.7639902676399026,0.9513381995133819,0.8856447688564477,0.9318734793187348,0.8720194647201946
DIXON.NS,92.58968,33.392853,2.3814745,54.599,23.990784415992543,0.8978102189781022,0.9732360097323601,0.291970802919708,0.9148418491484185,0.9075425790754258,0.7970802919708029
DEVYANI.NS,968.53326,15.017573,3.6624954,38.848,8.203611447090937,0.9951338199513382,0.8880778588807786,0.45985401459854014,0.781021897810219,0.39172749391727496,0.7031630170316302
LALPATHLAB.NS,50.253693,10.462901,8.721813,31.909,14.469448708046244,0.6642335766423357,0.7493917274939172,0.7980535279805353,0.6520681265206812,0.656934306569343,0.7041362530413625
EASEMYTRIP.NS,57.2381,6.2279797,6.9620895,22.534,9.73807947506852,0.7372262773722628,0.537712895377129,0.7128953771289538,0.44038929440389296,0.4768856447688564,0.581021897810219
EIHOTEL.NS,32.246696,5.5871034,8.367358,21.551,12.18196856097919,0.3722627737226277,0.4793187347931874,0.7664233576642335,0.4282238442822384,0.583941605839416,0.5260340632603405
DRREDDY.NS,17.240602,2.910489,2.9705818,10.75,4.980988498689444,0.15085158150851583,0.24574209245742093,0.39659367396593675,0.15815085158150852,0.1897810218978102,0.22822384428223846
EIDPARRY.NS,16.862272,1.8412256,0.45102605,6.271,2.3699275249232894,0.1435523114355231,0.09732360097323602,0.021897810218978103,0.058394160583941604,0.038929440389294405,0.07201946472019465
ELGIEQUIP.NS,43.652344,8.208612,4.181781,29.303,8.194040979800505,0.5620437956204379,0.6788321167883211,0.5158150851581509,0.6155717761557178,0.38929440389294406,0.5523114355231143
EMAMILTD.NS,32.571426,9.847503,6.9246573,26.033,10.02593847140102,0.3844282238442822,0.732360097323601,0.708029197080292,0.5304136253041363,0.49148418491484186,0.5693430656934306
EICHERMOT.NS,32.46659,7.577691,7.716416,27.55,15.984045951985406,0.3819951338199513,0.6423357664233577,0.7372262773722628,0.5766423357664233,0.7153284671532847,0.6107055961070559
EMCURE.NS,30.76971,4.5159345,2.477723,15.192,4.344518317970862,0.34793187347931875,0.40145985401459855,0.31873479318734793,0.2725060827250608,0.1411192214111922,0.29635036496350364
ELECON.NS,26.175407,5.553069,4.8891644,19.501,10.076146980934574,0.2846715328467153,0.4768856447688564,0.5863746958637469,0.38686131386861317,0.49391727493917276,0.4457420924574209
ENDURANCE.NS,32.2554,4.865673,2.2894628,17.174,5.296277125468112,0.3746958637469586,0.4209245742092457,0.2871046228710462,0.3236009732360097,0.20924574209245742,0.32311435523114357
ENGINERSIN.NS,22.016237,3.8446996,3.1723971,26.988,14.32670075826474,0.22871046228710462,0.3333333333333333,0.41849148418491483,0.5547445255474452,0.6496350364963503,0.43698296836982975
NYKAA.NS,982.1111,34.009235,6.6917787,189.41,15.997472218864466,0.9975669099756691,0.975669099756691,0.6861313868613139,0.9829683698296837,0.7177615571776156,0.8720194647201946
ESCORTS.NS,28.654367,3.5343804,3.8018386,26.6,11.227715094853425,0.31873479318734793,0.30656934306569344,0.4768856447688564,0.537712895377129,0.5450121654501217,0.43698296836982975
EXIDEIND.NS,39.056805,2.2411652,1.813962,18.012,5.815309007590639,0.49148418491484186,0.16058394160583941,0.21897810218978103,0.35279805352798055,0.2384428223844282,0.2924574209245742
ERIS.NS,54.644337,6.4881883,6.604888,24.841,10.199707771096367,0.7153284671532847,0.559610705596107,0.683698296836983,0.5085158150851582,0.5036496350364964,0.5941605839416059
FINEORG.NS,29.673735,5.9923744,5.758812,21.654,12.679532746083693,0.340632603406326,0.5182481751824818,0.610705596107056,0.4306569343065693,0.5985401459854015,0.4997566909975669
FSL.NS,40.16109,5.7166543,2.9846787,26.623,8.932655851162416,0.51338199513382,0.48905109489051096,0.40145985401459855,0.5401459854014599,0.44038929440389296,0.4768856447688565
GRINFRA.NS,8.642976,1.2658188,1.3236473,8.55,5.618246821803656,0.0364963503649635,0.043795620437956206,0.13381995133819952,0.09245742092457421,0.22871046228710462,0.10705596107055962
